wppm,mean,std. dev.
0.0,1.335581176928944,0.001265661240203173
50.0,1.3338269321326723,0.0010605259717247927
100.0,1.3346208518691538,0.0008029127790162152
150.0,1.3369430288023847,0.0008356254966114423
200.0,1.3386175921456416,0.0016163349863305633
250.0,1.3384912787686427,0.0011123480536127358
300.0,1.3380216800590514,0.0020138587806879976
350.0,1.3396595904697257,0.0010388326391425797
400.0,1.341739263195692,0.0011659308458518024
450.0,1.3423605240429861,0.001362354125780544
500.0,1.3411767956056944,0.0007649774193471733
550.0,1.3413671462382029,0.0014936952630488145
600.0,1.3413644698800107,0.0008303856045215985
650.0,1.3417396964119663,0.001135520667633276
700.0,1.337493361481422,0.0012943363291320774
750.0,1.337027642804664,0.0015824908116414992
800.0,1.3282435902039993,0.0010621707025854357
850.0,1.315622941508074,0.001259635200027275
900.0,1.2800740885955133,0.0008202764175129565
