wppm,mean,std. dev.
0.0,1.3371333367122629,0.0017989221074769643
50.0,1.338455566764995,0.001640212222666565
100.0,1.3402628510249792,0.0013281190185760483
150.0,1.3389343386011676,0.0012373163632142705
200.0,1.3409594686176247,0.000964943340743008
250.0,1.3405977747653743,0.001223179359035595
300.0,1.3430354433667742,0.0013470215128173057
350.0,1.3433643110613014,0.0015559029806154752
400.0,1.342722242295279,0.0016861190273655068
450.0,1.3431748451024903,0.0013046278706145386
500.0,1.3443548705031487,0.0008685586528606128
550.0,1.343884674339568,0.0012541264451258476
600.0,1.3445065430363767,0.0014570161651211756
650.0,1.342894555453188,0.0010148818066590324
700.0,1.340669355856739,0.0006165031489325526
750.0,1.3366978846054853,0.0011489053427706556
800.0,1.329214548807702,0.001043250304745856
850.0,1.3132070115335361,0.0009398409049913448
900.0,1.280573249899436,0.0008745449367631579
