cell,nuclide,score,mean,std. dev.
20,Li6,"(n,Xt)",0.09046670191590021,0.00021921262383554078
20,Li7,"(n,Xt)",0.018719713177743423,2.5425334942344593e-05
23,Li6,"(n,Xt)",0.9835808335959415,0.001343502265664187
23,Li7,"(n,Xt)",0.06494711327378677,0.00010262886247750559
26,Li6,"(n,Xt)",0.08563736834936565,0.00030327114311696736
26,Li7,"(n,Xt)",0.0021050829436994973,1.6765110225425646e-05
