enrichment,bare,4a_slry_0_mlt_0_ref_0_chnl_1_pp.csv,4a_slry_0_mlt_0_ref_0_chnl_2_pp.csv,4a_slry_0_mlt_0_ref_0_chnl_3_pp.csv,4a_slry_0_mlt_0_ref_0_chnl_4_pp.csv,4a_slry_0_mlt_0_ref_0_chnl_5_pp.csv,4a_slry_0_mlt_0_ref_0_chnl_6_pp.csv,4a_slry_0_mlt_0_ref_0_chnl_7_pp.csv
0.01,0.428365167,0.4381522190434284,0.4283651674616654,0.420689115742804,0.4119225669062439,0.4053576885808437,0.3986998465784658,0.392794109743504
7.5,1.176862447,1.182966741228643,1.1768624468216276,1.1725734545525557,1.1666194143253414,1.1644622556282485,1.167076527818655,1.1662431974163083
15.0,1.209729528,1.2156436248872586,1.209729527586178,1.2059382502944194,1.202422470420378,1.1994845471151996,1.2007255926736604,1.200606207002701
25.0,1.223575556,1.2271369786923805,1.2235755560765869,1.2185447961450844,1.218072791637726,1.215398821107255,1.214130095131806,1.2149070241665167
50.0,1.220874813,1.2280424706422317,1.2208748130144342,1.2171283305563865,1.2147370684440828,1.214949087898711,1.2120237904018558,1.2124245017144273
75.0,1.206134367,1.2127421392653674,1.206134367213607,1.2030910129305112,1.200660434352049,1.1982068741823362,1.1942163715174676,1.1946409586102804
99.99,1.189121384,1.1952049176027766,1.1891213841083352,1.1841554940177323,1.1804350831739856,1.1756673573277243,1.1736585507794757,1.1700882326780446
