enrichment,bare,14_slry_1000_mlt_0.5_ref_0_pp.csv,14_slry_1000_mlt_1.5_ref_0_pp.csv,14_slry_1000_mlt_1_ref_0_pp.csv,14_slry_1000_mlt_2_ref_0_pp.csv,14_slry_100_mlt_0.5_ref_0_pp.csv,14_slry_100_mlt_1.5_ref_0_pp.csv,14_slry_100_mlt_1_ref_0_pp.csv,14_slry_100_mlt_2_ref_0_pp.csv,14_slry_150_mlt_0.5_ref_0_pp.csv,14_slry_150_mlt_1.5_ref_0_pp.csv,14_slry_150_mlt_1_ref_0_pp.csv,14_slry_150_mlt_2_ref_0_pp.csv,14_slry_200_mlt_0.5_ref_0_pp.csv,14_slry_200_mlt_1.5_ref_0_pp.csv,14_slry_200_mlt_1_ref_0_pp.csv,14_slry_200_mlt_2_ref_0_pp.csv,14_slry_250_mlt_0.5_ref_0_pp.csv,14_slry_250_mlt_1.5_ref_0_pp.csv,14_slry_250_mlt_1_ref_0_pp.csv,14_slry_250_mlt_2_ref_0_pp.csv,14_slry_50_mlt_0.5_ref_0_pp.csv,14_slry_50_mlt_1.5_ref_0_pp.csv,14_slry_50_mlt_1_ref_0_pp.csv,14_slry_50_mlt_2_ref_0_pp.csv
0.01,0.428365167,0.0,0.0,0.0,0.0,0.4193445001272695,0.4178329196276777,0.4181586047752693,0.4163505591290841,0.4147963941777271,0.4126677288234915,0.413649856983255,0.4125121283879396,0.4094487459843417,0.4078202109561138,0.4077450906574411,0.405573332065241,0.4031550588581763,0.400900074294215,0.4021794248001086,0.4006672648696785,0.4235617761651982,0.4220479752665931,0.4229990780788624,0.4209935991839748
7.5,1.176862447,0.0,0.0,0.0,0.0,1.19919100891702,1.2310945389338257,1.2153289750649972,1.2417812448375571,1.2044036305431265,1.2331048354044385,1.2171809277066452,1.2460058330644574,1.2057282700917895,1.2354130654503075,1.2229136141330297,1.2485135173710316,1.2099145322361118,1.2403368945603916,1.2259216995434183,1.2519148523040609,1.1959386400257586,1.228044438612153,1.2130682009796456,1.2395611355707996
15.0,1.209729528,0.0,0.0,0.0,0.0,1.2356194206844495,1.2707704375586386,1.2537454165176036,1.2839163488053884,1.2396589613583346,1.2742826751469791,1.2561115354947023,1.289076210817116,1.2443059526782274,1.277840410836261,1.2626574385410307,1.2927070087938943,1.247200425934376,1.2829637439377817,1.2654173695203694,1.2963685395546336,1.2311674697047197,1.2664893806890467,1.2498906313272231,1.28204467446254
25.0,1.223575556,0.0,0.0,0.0,0.0,1.2497925085304815,1.2874806133693006,1.2690028732825471,1.305407002408384,1.2561798402858355,1.292160843986536,1.2751934357593078,1.3094312035167983,1.2598516943170517,1.2978467622841292,1.2787287913741845,1.312834216175933,1.264873768551725,1.3019599761380969,1.2832186775353205,1.3190086252240314,1.2466101107995071,1.2841076937281537,1.264891938246072,1.302291190950596
50.0,1.220874813,0.0,0.0,0.0,0.0,1.253234965471106,1.2958292736932655,1.2750418821842635,1.316936798069976,1.2592672901263535,1.3012412702091722,1.280782969795434,1.3216486847233306,1.2652226126860169,1.3046660264922658,1.2858731550337776,1.325496045832083,1.2707095832508972,1.3112815111187746,1.2925506708138748,1.329928363500538,1.2485009749879987,1.2926541619136116,1.270125608876166,1.3110544205460508
75.0,1.206134367,0.0,0.0,0.0,0.0,1.2420250079213648,1.289692630946906,1.2652193115196106,1.3113850709482842,1.2489999485677357,1.294421461443673,1.2719088299930086,1.3148921607190935,1.254728687073372,1.2991373474576302,1.2773984627758366,1.3199165869681544,1.2617123711870428,1.3068688651672833,1.283372578356322,1.3250283018451663,1.2371364728545138,1.2841830418711029,1.2606844265278403,1.3065938150123628
99.99,1.189121384,0.0,0.0,0.0,0.0,1.2263486023140664,1.2774910773012662,1.2512586992494337,1.298845180151447,1.2329183812219435,1.2817350814206006,1.2586166684219064,1.3040988359733,1.2389474090677464,1.2886057420542822,1.2637190118674286,1.3108250480417185,1.2465584987578897,1.295127559199885,1.2722234000009864,1.3159598969239177,1.2210102957066271,1.2731776655580425,1.2463372379470834,1.2966484221199022
