enrichment,bare,14_slry_1000_mlt_2_ref_0_pp.csv,14_slry_500_mlt_2_ref_0_pp.csv,14_slry_550_mlt_2_ref_0_pp.csv,14_slry_600_mlt_2_ref_0_pp.csv,14_slry_650_mlt_2_ref_0_pp.csv,14_slry_700_mlt_2_ref_0_pp.csv,14_slry_750_mlt_2_ref_0_pp.csv,14_slry_800_mlt_2_ref_0_pp.csv,14_slry_850_mlt_2_ref_0_pp.csv,14_slry_900_mlt_2_ref_0_pp.csv,14_slry_950_mlt_2_ref_0_pp.csv
0.01,0.428365167,0.0,0.3562098461923777,0.3429988049232667,0.3288807898127009,0.3104276508391377,0.2898850825823823,0.2651165215906191,0.2332805845630778,0.1933013053047238,0.1418842970326246,0.0743758394732531
7.5,1.176862447,0.0,1.2712550537677256,1.2771916728416597,1.2804968743114524,1.2883760195104188,1.291173980605723,1.2940762235508492,1.2969642361770273,1.292081966381871,1.2690211518927303,1.1847885714522026
15.0,1.209729528,0.0,1.3194097825817304,1.3263758707387132,1.3337868002070077,1.3398314180673223,1.3473594344194906,1.3559083197995996,1.3618258086862551,1.3641960694672906,1.3524537412830997,1.288228881132803
25.0,1.223575556,0.0,1.3448651960433506,1.35219023317598,1.3609909918352587,1.3692944149895885,1.3801804872243182,1.3911067018701893,1.401444334382124,1.408685151298866,1.4072075095392431,1.361934331083322
50.0,1.220874813,0.0,1.3621448245579206,1.376619150883785,1.3852946931867995,1.3985035872888207,1.4119606122355577,1.425772399885575,1.439809964483549,1.457075179849085,1.465943012371732,1.4454222055695976
75.0,1.206134367,0.0,1.3666371460467217,1.37793158933224,1.38852952600717,1.4020792465185914,1.4181064214261654,1.434854977171652,1.4538238145322988,1.474541049974649,1.4925691537682662,1.4902915352235653
99.99,1.189121384,0.0,1.3592946351324966,1.370868194163354,1.384134854896344,1.3976637225783934,1.413991241747194,1.4333571769107376,1.4573057337423532,1.482546328840213,1.5066461626073309,1.5151423371940838
