enrichment,bare,2a_slry_0_mlt_0.2_ref_0_pp.csv,2a_slry_0_mlt_0.4_ref_0_pp.csv,2a_slry_0_mlt_0.6_ref_0_pp.csv,2a_slry_0_mlt_0.8_ref_0_pp.csv,2a_slry_0_mlt_1_ref_0_pp.csv
0.01,0.428365167,0.4249715057765219,0.4213637476629391,0.4181348801860982,0.4148566784940725,0.4119529004793775
7.5,1.176862447,1.179939032315494,1.1849127959668642,1.18980007758256,1.1935606027033296,1.1986847581117408
15.0,1.209729528,1.2143534269574745,1.2232185079289826,1.2279325490617825,1.2349313807990412,1.240792057491739
25.0,1.223575556,1.2306833075663894,1.238975447118696,1.2455022736466337,1.254447391876129,1.2623658568358571
50.0,1.220874813,1.2306337675096612,1.2409092775028354,1.2513444263015088,1.2603819349007253,1.2716658147453532
75.0,1.206134367,1.2175887565505596,1.2292780217896784,1.2409121333637991,1.2512982330040776,1.2629496730910326
99.99,1.189121384,1.197923473335064,1.2101106444146998,1.221876121442618,1.2338224521376957,1.2473971091378089
