enrichment,bare,10_slry_1000_mlt_1_ref_0.5_pp.csv,10_slry_1000_mlt_1_ref_1.5_pp.csv,10_slry_1000_mlt_1_ref_1_pp.csv,10_slry_1000_mlt_1_ref_2_pp.csv,10_slry_100_mlt_1_ref_0.5_pp.csv,10_slry_100_mlt_1_ref_1.5_pp.csv,10_slry_100_mlt_1_ref_1_pp.csv,10_slry_100_mlt_1_ref_2_pp.csv,10_slry_150_mlt_1_ref_0.5_pp.csv,10_slry_150_mlt_1_ref_1.5_pp.csv,10_slry_150_mlt_1_ref_1_pp.csv,10_slry_150_mlt_1_ref_2_pp.csv,10_slry_200_mlt_1_ref_0.5_pp.csv,10_slry_200_mlt_1_ref_1.5_pp.csv,10_slry_200_mlt_1_ref_1_pp.csv,10_slry_200_mlt_1_ref_2_pp.csv,10_slry_250_mlt_1_ref_0.5_pp.csv,10_slry_250_mlt_1_ref_1.5_pp.csv,10_slry_250_mlt_1_ref_1_pp.csv,10_slry_250_mlt_1_ref_2_pp.csv,10_slry_50_mlt_1_ref_0.5_pp.csv,10_slry_50_mlt_1_ref_1.5_pp.csv,10_slry_50_mlt_1_ref_1_pp.csv,10_slry_50_mlt_1_ref_2_pp.csv
0.01,0.428365167,1.1394129935800894,1.1394433154302672,1.1394149489930587,1.1394603014379956,1.034011859425922,1.0340952007712323,1.0340700351478735,1.0342965556440922,1.0661029308440706,1.0662561265355093,1.066251172902282,1.0664264107942572,1.0890406973307274,1.0891048190303831,1.0890123311955926,1.0892072800064665,1.1039771757708992,1.1040087453753091,1.1040146823941814,1.1040782512266396,0.9736974133068032,0.9741195695988712,0.9739622653341145,0.9742913240839716
7.5,1.176862447,1.1394129935800883,1.139443315430258,1.1394149489930605,1.1394603014380016,1.193569036841325,1.1936379194923297,1.1935540414452463,1.1936635649864205,1.1884317684231736,1.188487778435747,1.1884374225692598,1.1885170552020163,1.187786491995458,1.1878324711141706,1.1878010659864542,1.1878458742223688,1.182910652384442,1.18297817925376,1.1829649214955675,1.1830277856361109,1.1959125558082166,1.1959937410032588,1.195951124823364,1.1960212577534488
15.0,1.209729528,1.139412993580086,1.1394433154302577,1.1394149489930516,1.1394603014380007,1.2295023207126503,1.2294883600126731,1.2295382154253511,1.2295760141599454,1.2232620305504018,1.2232759946021268,1.2232635844680384,1.2233286238180363,1.2184451744248648,1.2185030648858035,1.2184499815986682,1.2185057374979866,1.2100499401972782,1.2101318473318254,1.2100986056862753,1.210152929390542,1.236127646172219,1.2361947128021096,1.2361541043760254,1.2361871715823514
25.0,1.223575556,1.139412993580086,1.1394433154302588,1.1394149489930574,1.1394603014380054,1.2502548386044736,1.2503023799212716,1.250319417995812,1.2503323394328865,1.2429961645975092,1.2430287488640372,1.2430617922467015,1.2430728236880089,1.236433950792086,1.2364757354611204,1.2364862381735156,1.2364781333471604,1.2286018069471736,1.2286885330238069,1.2286854418253117,1.2287136871458977,1.25802915927183,1.2580402907275725,1.2580408434493024,1.2580822264806852
50.0,1.220874813,1.139412993580086,1.13944331543026,1.1394149489930585,1.1394603014379985,1.2612289388721798,1.2612071087829786,1.2612160893359543,1.2612290237413393,1.252820154301756,1.252857090868995,1.252848092946217,1.2528476236100885,1.247764520672044,1.2478037874750223,1.2478074623132702,1.2477934664492132,1.2421529393796384,1.242129246051482,1.2421347112267425,1.242181354269606,1.2653497717315865,1.265322533355316,1.2653496784754157,1.2653398362889503
75.0,1.206134367,1.1394129935800854,1.1394433154302623,1.1394149489930545,1.1394603014379925,1.253087795283614,1.2530904684231492,1.2531115560546056,1.2531121103521703,1.2477688542645795,1.2477742140856662,1.24782889969795,1.247784578590799,1.243831418158727,1.2438300789362176,1.2438624714140374,1.2438514987410767,1.2399991869899432,1.239965916425009,1.239997373100837,1.2400114109547609,1.2584240387263246,1.258437777573617,1.258467833005485,1.2584481093359736
99.99,1.189121384,1.1394129935800903,1.139443315430259,1.139414948993064,1.139460301437996,1.2405363203181925,1.2405420846991326,1.240551974525612,1.2405736606296276,1.236908234884641,1.236909459518906,1.2369180606358907,1.2369180542828695,1.2336510597718808,1.233669807206884,1.2336463113778422,1.233665462183004,1.2315003518571452,1.2315299299789817,1.2315135762615173,1.2315446500153482,1.2438494531426765,1.243849454944743,1.2438437746999234,1.24385427439082
