wppm,mean,std. dev.
0.0,1.2396507304658086,0.0011734532498146168
50.0,1.24019349372091,0.0010860148092097183
100.0,1.2430756546202333,0.0013120905950668922
150.0,1.2461905748473614,0.0014429391194345632
200.0,1.249803173363566,0.0016210349966172862
250.0,1.253363693169933,0.0016223930675359594
300.0,1.257110754375521,0.0010226512318977105
350.0,1.2602623355431088,0.0011025404689024802
400.0,1.2628764490156505,0.0007092877901171511
450.0,1.268110330859403,0.001618520774375438
500.0,1.2719298777466461,0.001176423395855036
550.0,1.2768394723533818,0.0014596132873797168
600.0,1.2808869396799671,0.0009218936185196556
650.0,1.287755378662488,0.0010226044367840725
700.0,1.292024934090685,0.0008934745808437623
750.0,1.295384797860037,0.001191502408179504
800.0,1.2964881435190037,0.0007029971906320674
850.0,1.2925329857174115,0.0015257064198211932
900.0,1.2699194344792877,0.0007279437489206141
