cell,nuclide,score,mean,std. dev.,wppm
169,Li6,"(n,Xt)",0.0006429313671144,3.4746524503504244e-05,600.0
169,Li7,"(n,Xt)",3.986739279122676e-06,2.901411046860688e-07,600.0
166,Li7,"(n,Xt)",0.0467443084262323,0.0001009778576,600.0
163,Li6,"(n,Xt)",0.0858466261423484,0.0001961683850835,600.0
163,Li7,"(n,Xt)",0.0145765011908734,1.689314925858967e-05,600.0
166,Li6,"(n,Xt)",1.1330725858141195,0.0008942686940717,600.0
176,Li6,"(n,Xt)",0.0844183403350477,0.0001701050111219,650.0
176,Li7,"(n,Xt)",0.013826339486009,1.3605855512364477e-05,650.0
179,Li6,"(n,Xt)",1.1453869800820982,0.0010034670648626,650.0
179,Li7,"(n,Xt)",0.0434151199915798,9.468517703270918e-05,650.0
182,Li6,"(n,Xt)",0.0007055628174328,2.621591265610889e-05,650.0
182,Li7,"(n,Xt)",3.035950320477185e-06,5.412276745121509e-07,650.0
195,Li6,"(n,Xt)",0.0006991066006821,3.203835370441557e-05,700.0
195,Li7,"(n,Xt)",2.409913454607671e-06,4.6438502649785066e-07,700.0
192,Li7,"(n,Xt)",0.0396119610688568,8.674388887476915e-05,700.0
189,Li7,"(n,Xt)",0.01293315795493,1.3619437577389304e-05,700.0
189,Li6,"(n,Xt)",0.0826106921842146,0.0001226634732066,700.0
192,Li6,"(n,Xt)",1.156167606368547,0.000880064677087,700.0
202,Li6,"(n,Xt)",0.0799996527119388,0.0001533788707815,750.0
202,Li7,"(n,Xt)",0.0118600155753322,1.3963953128961924e-05,750.0
205,Li6,"(n,Xt)",1.167359838565279,0.0011778313712769,750.0
205,Li7,"(n,Xt)",0.0352924026136508,8.029306586120601e-05,750.0
208,Li6,"(n,Xt)",0.0008710628582995,4.715906758132e-05,750.0
208,Li7,"(n,Xt)",1.825535536808636e-06,4.748302931584665e-07,750.0
221,Li6,"(n,Xt)",0.0011402314039961,2.033474496656456e-05,800.0
221,Li7,"(n,Xt)",1.3728544613538833e-06,3.676529379512305e-07,800.0
218,Li7,"(n,Xt)",0.0303007216499649,5.009274558023024e-05,800.0
218,Li6,"(n,Xt)",1.1780109144610555,0.0006854041711451,800.0
215,Li7,"(n,Xt)",0.0105448768970267,1.327257559292181e-05,800.0
215,Li6,"(n,Xt)",0.0764900262524989,0.0001460379771474,800.0
228,Li6,"(n,Xt)",0.0714422742895493,0.0001082137226044,850.0
228,Li7,"(n,Xt)",0.0089093886124381,8.707098387847938e-06,850.0
231,Li6,"(n,Xt)",1.1862744810704966,0.001521117158,850.0
231,Li7,"(n,Xt)",0.0244100105851927,3.5462194044685214e-05,850.0
234,Li6,"(n,Xt)",0.0014958497858234,3.0643378617526204e-05,850.0
234,Li7,"(n,Xt)",9.81373911296509e-07,2.528632195133123e-07,850.0
244,Li7,"(n,Xt)",0.0175147107538664,2.791858748195172e-05,900.0
244,Li6,"(n,Xt)",1.180129887641962,0.0007167803731859,900.0
247,Li6,"(n,Xt)",0.0027297609521374,4.0918601228934704e-05,900.0
241,Li6,"(n,Xt)",0.0627426747998558,0.0001166929300164,900.0
241,Li7,"(n,Xt)",0.0068017130164809,7.545154555065481e-06,900.0
247,Li7,"(n,Xt)",6.873149851449285e-07,2.224443477101352e-07,900.0
