enrichment,bare,22_slry_0_mlt_0.5_ref_0_pp.csv,22_slry_0_mlt_1.5_ref_0_pp.csv,22_slry_0_mlt_1_ref_0_pp.csv,22_slry_0_mlt_2_ref_0_pp.csv
0.01,0.428365167,0.4280722873056262,0.4260204572266664,0.4270217153515505,0.4250847432750082
7.5,1.176862447,1.1947553981804029,1.225996535577467,1.2097935697496396,1.239670217751678
15.0,1.209729528,1.2288226998746494,1.2613289947962456,1.246152766971387,1.2790084575041345
25.0,1.223575556,1.2449696843042095,1.2821748817134233,1.263663726666766,1.2974945207685988
50.0,1.220874813,1.2467380849595302,1.287560666137516,1.2692424102871414,1.3060690901882717
75.0,1.206134367,1.2351082030878466,1.2793953768238897,1.2593512732121557,1.3017415213673558
99.99,1.189121384,1.2161553146900772,1.2670839075939162,1.2427504749941096,1.2858857874711682
