enrichment,bare,24_slry_0_mlt_0_ref_0.5_pp.csv,24_slry_0_mlt_0_ref_1.5_pp.csv,24_slry_0_mlt_0_ref_1_pp.csv,24_slry_0_mlt_0_ref_2_pp.csv
0.01,0.000474573,0.0004508559882537,0.0004919512746575,0.000458645587965,0.0005097365367146
7.5,0.000587528,0.0005989684638613,0.0006026727913086,0.0006207122387692,0.0005960472158863
15.0,0.001251596,0.0012552679639095,0.0012519741908088,0.0012493392513285,0.0012583462558661
25.0,0.001272486,0.0012845732419928,0.0012953215366323,0.0012904925095077,0.0012885406747441
50.0,0.001310144,0.0013212068915384,0.001323468618028,0.0013152865591644,0.0013208267907109
75.0,0.00113424,0.0011354681048846,0.0011344626264332,0.0011375947552789,0.0011413837152789
99.99,0.001036591,0.0010318194344386,0.0010306812789028,0.0010274781890602,0.0010328061179698
