cell,nuclide,score,mean,std. dev.,wppm
6,Li6,"(n,Xt)",0.0905202953647453,0.0001077234663226,0.0
6,Li7,"(n,Xt)",0.0189251342411767,2.7125347001824022e-05,0.0
10,Li6,"(n,Xt)",1.0606674028050238,0.0011616745626104,0.0
10,Li7,"(n,Xt)",0.0686825145101462,7.747639772501032e-05,0.0
13,Li6,"(n,Xt)",0.0005169222789056,2.3069155106574867e-05,0.0
13,Li7,"(n,Xt)",8.07776065399876e-06,1.4552954060186402e-06,0.0
20,Li6,"(n,Xt)",0.0904642875294454,0.0001339630856375,50.0
20,Li7,"(n,Xt)",0.0187234862760865,2.4639895084789164e-05,50.0
23,Li6,"(n,Xt)",1.0626633703978632,0.0010666210754215,50.0
23,Li7,"(n,Xt)",0.0675771151366537,8.108537676908991e-05,50.0
26,Li6,"(n,Xt)",0.0005063641027265,2.3306503501269205e-05,50.0
26,Li7,"(n,Xt)",7.391189650065298e-06,1.2936816706132078e-06,50.0
39,Li7,"(n,Xt)",7.127988961289537e-06,1.065480664812606e-06,100.0
39,Li6,"(n,Xt)",0.0005378685591959,2.1982758895602007e-05,100.0
36,Li7,"(n,Xt)",0.0664418073516276,0.0001002619856353,100.0
33,Li6,"(n,Xt)",0.0902583581933292,0.0001685623409168,100.0
33,Li7,"(n,Xt)",0.0185008479575971,2.528544175889876e-05,100.0
36,Li6,"(n,Xt)",1.0670949798153655,0.001265965685748,100.0
46,Li6,"(n,Xt)",0.0899911494638024,0.0001334068254519,150.0
46,Li7,"(n,Xt)",0.0182773655708821,2.783435129724959e-05,150.0
49,Li6,"(n,Xt)",1.0720525470581412,0.0013994051710868,150.0
49,Li7,"(n,Xt)",0.0651561296307476,0.0001033701232914,150.0
52,Li6,"(n,Xt)",0.0004886627283184,3.199089317999834e-05,150.0
52,Li7,"(n,Xt)",6.393440265641044e-06,1.0817551165332076e-06,150.0
65,Li7,"(n,Xt)",6.3146300662281365e-06,1.1345655088521149e-06,200.0
62,Li7,"(n,Xt)",0.0637467856803233,9.552036333398044e-05,200.0
65,Li6,"(n,Xt)",0.0004853677624123,1.979243570955087e-05,200.0
59,Li7,"(n,Xt)",0.0180267229850577,2.378785148208317e-05,200.0
62,Li6,"(n,Xt)",1.0774690268208875,0.0016067437178063,200.0
59,Li6,"(n,Xt)",0.0898650727507026,0.0001580435260738,200.0
72,Li6,"(n,Xt)",0.0898625913748103,0.0002259264138863,250.0
72,Li7,"(n,Xt)",0.0177450940558589,2.437201920937576e-05,250.0
75,Li6,"(n,Xt)",1.0827519731866004,0.0016254629789859,250.0
75,Li7,"(n,Xt)",0.0622551945213983,0.0001048859242792,250.0
78,Li6,"(n,Xt)",0.0005349060980571,2.8219942558513155e-05,250.0
78,Li7,"(n,Xt)",5.418479228803048e-06,9.385303090687376e-07,250.0
91,Li6,"(n,Xt)",0.00053775390187,2.4588787886688016e-05,300.0
88,Li7,"(n,Xt)",0.0606612329498204,9.455282864461463e-05,300.0
91,Li7,"(n,Xt)",5.544474664743449e-06,1.1321789077731911e-06,300.0
85,Li7,"(n,Xt)",0.0174298002264935,2.1606591612938366e-05,300.0
85,Li6,"(n,Xt)",0.0890174629825046,0.0001720149349272,300.0
88,Li6,"(n,Xt)",1.0890950906781849,0.0010002329149565,300.0
104,Li6,"(n,Xt)",0.0005155140344996,2.151608901899813e-05,350.0
101,Li7,"(n,Xt)",0.0589163826802536,8.668560869641223e-05,350.0
104,Li7,"(n,Xt)",5.467362825503194e-06,9.336915607287776e-07,350.0
98,Li7,"(n,Xt)",0.017089006857585,2.0936125678166635e-05,350.0
98,Li6,"(n,Xt)",0.0888997108527244,0.0001070246784438,350.0
101,Li6,"(n,Xt)",1.094616544318213,0.0010995247843251,350.0
111,Li6,"(n,Xt)",0.0885220082529408,0.0001724955124586,400.0
111,Li7,"(n,Xt)",0.0167003200165136,1.77894663791409e-05,400.0
114,Li6,"(n,Xt)",1.099796986314864,0.0007215300199341,400.0
114,Li7,"(n,Xt)",0.0569633121990531,8.662591333834742e-05,400.0
117,Li6,"(n,Xt)",0.0005224276067628,3.266102215467868e-05,400.0
117,Li7,"(n,Xt)",4.597927309997075e-06,1.1643461998730896e-06,400.0
130,Li6,"(n,Xt)",0.0005663336495859,3.8990438362134255e-05,450.0
130,Li7,"(n,Xt)",4.889833467716661e-06,1.0479871548185756e-06,450.0
127,Li7,"(n,Xt)",0.0548276577027061,9.930036244088374e-05,450.0
127,Li6,"(n,Xt)",1.108216490722706,0.0015875725090613,450.0
124,Li7,"(n,Xt)",0.0162730365040278,1.7438173151675105e-05,450.0
124,Li6,"(n,Xt)",0.0879414911574866,0.0002252760971763,450.0
137,Li6,"(n,Xt)",0.0875241903220207,0.0001945688559324,500.0
137,Li7,"(n,Xt)",0.015775153896734,1.4840942382311662e-05,500.0
140,Li6,"(n,Xt)",1.115315237986262,0.0011639018455063,500.0
140,Li7,"(n,Xt)",0.0524305222894639,0.0001087721146897,500.0
143,Li6,"(n,Xt)",0.0006134406865498,3.522763047865188e-05,500.0
143,Li7,"(n,Xt)",4.430666787557904e-06,7.210736955481563e-07,500.0
156,Li7,"(n,Xt)",4.1526160282261535e-06,6.891998123563295e-07,550.0
156,Li6,"(n,Xt)",0.0005532622769913,1.696346929710893e-05,550.0
153,Li7,"(n,Xt)",0.0497638954335621,9.45201984784582e-05,550.0
150,Li6,"(n,Xt)",0.0869302117093716,0.0001552192811138,550.0
150,Li7,"(n,Xt)",0.0152168830381853,1.762594846137651e-05,550.0
153,Li6,"(n,Xt)",1.124155843016133,0.0014735254203474,550.0
169,Li6,"(n,Xt)",0.0005839864634181,2.1652718909628424e-05,600.0
169,Li7,"(n,Xt)",3.4322818431598047e-06,4.794283389451026e-07,600.0
166,Li7,"(n,Xt)",0.0467441584186682,0.0001010560828745,600.0
163,Li6,"(n,Xt)",0.085851008869323,0.0001954427495463,600.0
163,Li7,"(n,Xt)",0.0145765323708029,1.6907496876410523e-05,600.0
166,Li6,"(n,Xt)",1.132775277889687,0.0009027463346929,600.0
176,Li6,"(n,Xt)",0.084421991445653,0.0001678381897571,650.0
176,Li7,"(n,Xt)",0.0138262863854076,1.3614874896940104e-05,650.0
179,Li6,"(n,Xt)",1.145129014225185,0.0010132035664629,650.0
179,Li7,"(n,Xt)",0.0434151267380502,9.545486270724322e-05,650.0
182,Li6,"(n,Xt)",0.0006645578384039,3.075494824492439e-05,650.0
182,Li7,"(n,Xt)",2.501077360321945e-06,5.38267799300593e-07,650.0
195,Li6,"(n,Xt)",0.0007436814125072,2.3748671606618186e-05,700.0
195,Li7,"(n,Xt)",2.6001058484491493e-06,5.052751915669256e-07,700.0
192,Li7,"(n,Xt)",0.0396117263129585,8.696716362379622e-05,700.0
189,Li7,"(n,Xt)",0.0129331660219123,1.3587466590566951e-05,700.0
189,Li6,"(n,Xt)",0.0826044185050049,0.0001215305960528,700.0
192,Li6,"(n,Xt)",1.1557966066191103,0.0008525771451339,700.0
202,Li6,"(n,Xt)",0.080006853647362,0.0001544634944863,750.0
202,Li7,"(n,Xt)",0.0118600004707362,1.395053113951028e-05,750.0
205,Li6,"(n,Xt)",1.166912796713884,0.0011539086599823,750.0
205,Li7,"(n,Xt)",0.0352936577596056,7.990085287333882e-05,750.0
208,Li6,"(n,Xt)",0.0008621055900105,4.0195277197981485e-05,750.0
208,Li7,"(n,Xt)",1.91691096399724e-06,4.830565440871684e-07,750.0
221,Li6,"(n,Xt)",0.0010821048591465,2.259966968543252e-05,800.0
221,Li7,"(n,Xt)",1.2915446897912423e-06,3.449335909876367e-07,800.0
218,Li7,"(n,Xt)",0.0302999158664366,5.013472886891202e-05,800.0
218,Li6,"(n,Xt)",1.1775144672378697,0.0006911150578503,800.0
215,Li7,"(n,Xt)",0.01054490352261,1.328091364692336e-05,800.0
215,Li6,"(n,Xt)",0.0764884223210341,0.0001439211828138,800.0
228,Li6,"(n,Xt)",0.0714372045323065,0.0001069662898367,850.0
228,Li7,"(n,Xt)",0.0089093532383574,8.704388702968067e-06,850.0
231,Li6,"(n,Xt)",1.1855490165703784,0.0015238059816298,850.0
231,Li7,"(n,Xt)",0.0244102890570337,3.540946974227399e-05,850.0
234,Li6,"(n,Xt)",0.0014845566262929,3.102484149795724e-05,850.0
234,Li7,"(n,Xt)",7.295016351158109e-07,1.8248527617227825e-07,850.0
244,Li7,"(n,Xt)",0.0175142461666581,2.8009140157870108e-05,900.0
244,Li6,"(n,Xt)",1.1790674869924702,0.0007506080792193,900.0
247,Li6,"(n,Xt)",0.0025436049717669,4.820525560541129e-05,900.0
241,Li6,"(n,Xt)",0.0627520269081497,0.0001185789778305,900.0
