wppm,mean,std. dev.
0.0,1.25104194514807,0.001146999334617313
50.0,1.2553537362757006,0.0009456445142299948
100.0,1.25696034850493,0.0009275330909239852
150.0,1.2593743153886814,0.0008699032361686519
200.0,1.26231838267987,0.0009143946808613259
250.0,1.264828516428631,0.0011608484028871676
300.0,1.266955412924557,0.0009596544655801901
350.0,1.2702987653281586,0.0010827838095811655
400.0,1.2719384587352962,0.001330966797654419
450.0,1.2749346233441827,0.0010281695960018713
500.0,1.2761023254163166,0.0011780099900100154
550.0,1.2820041888771387,0.0012358730991512768
600.0,1.2839448865552925,0.0015496969525740122
650.0,1.2883013127595695,0.0012531439212718893
700.0,1.292261676349971,0.001405771790567883
750.0,1.2895538310001886,0.0009092749298781794
800.0,1.29049352288153,0.0009445825929146902
850.0,1.282958651606802,0.001350562932004564
900.0,1.2589023460937376,0.0016112968089869093
