cell,nuclide,score,mean,std. dev.,wppm
6,Li6,"(n,Xt)",0.0905644130993626,0.000168121068897,0.0
6,Li7,"(n,Xt)",0.0189205276574696,2.7577793767761475e-05,0.0
10,Li6,"(n,Xt)",1.0200031683066588,0.0014660607566607,0.0
10,Li7,"(n,Xt)",0.0675933571373869,9.980712549809464e-05,0.0
13,Li6,"(n,Xt)",0.0422781591891885,0.0001769202873389,0.0
13,Li7,"(n,Xt)",0.0008823369068943,1.937612172348166e-05,0.0
20,Li6,"(n,Xt)",0.0904910807981344,0.0001715883810478,50.0
20,Li7,"(n,Xt)",0.0187172593433611,2.5442842342901083e-05,50.0
23,Li6,"(n,Xt)",1.0232246633852475,0.0010947376512734,50.0
23,Li7,"(n,Xt)",0.0665022433069565,0.0001009605585321,50.0
26,Li6,"(n,Xt)",0.0426959476747523,0.0002317103272176,50.0
26,Li7,"(n,Xt)",0.0008635862098425,1.9738641645818227e-05,50.0
39,Li7,"(n,Xt)",0.0008253161502885,1.836498132418899e-05,100.0
39,Li6,"(n,Xt)",0.0430785836958335,0.0002499416143608,100.0
36,Li7,"(n,Xt)",0.0654122410242183,0.0001026674716301,100.0
33,Li6,"(n,Xt)",0.0903388831310196,0.0002298404052787,100.0
33,Li7,"(n,Xt)",0.018501266473937,2.6537770878465788e-05,100.0
36,Li6,"(n,Xt)",1.0254615535710232,0.0009799233264065,100.0
46,Li6,"(n,Xt)",0.0899174750379582,0.0001561230045522,150.0
46,Li7,"(n,Xt)",0.0182751320249486,2.8811791386347106e-05,150.0
49,Li6,"(n,Xt)",1.0305560814712176,0.0013069968997841,150.0
49,Li7,"(n,Xt)",0.0641845536591679,0.0001135656730633,150.0
52,Li6,"(n,Xt)",0.0428666880661688,0.0002863653375325,150.0
52,Li7,"(n,Xt)",0.0008016048546973,1.6025591640488052e-05,150.0
65,Li7,"(n,Xt)",0.0007645826667735,1.903838083556615e-05,200.0
62,Li7,"(n,Xt)",0.0628492513054492,9.736828487778891e-05,200.0
65,Li6,"(n,Xt)",0.0437647429664304,0.0002852383071468,200.0
59,Li7,"(n,Xt)",0.0180258442747577,2.462875926967987e-05,200.0
62,Li6,"(n,Xt)",1.0355185373616032,0.001642078376828,200.0
59,Li6,"(n,Xt)",0.0898295865001176,0.0001897996162183,200.0
72,Li6,"(n,Xt)",0.0900948463757936,0.0002084118684474,250.0
72,Li7,"(n,Xt)",0.0177462376153074,2.4588620429025605e-05,250.0
75,Li6,"(n,Xt)",1.0386284389578742,0.0016395562898158,250.0
75,Li7,"(n,Xt)",0.0613809126653207,0.0001234941972244,250.0
78,Li6,"(n,Xt)",0.044436771837021,0.0002379695340326,250.0
78,Li7,"(n,Xt)",0.000737564204282,1.8447343510463172e-05,250.0
91,Li6,"(n,Xt)",0.0455248841591876,0.0003021115162031,300.0
88,Li7,"(n,Xt)",0.0598336645062439,0.0001095464095951,300.0
91,Li7,"(n,Xt)",0.0007099344404731,1.6424471942797827e-05,300.0
85,Li7,"(n,Xt)",0.0174249851369242,2.0944935682267013e-05,300.0
85,Li6,"(n,Xt)",0.0892354814008821,0.0001293543655575,300.0
88,Li6,"(n,Xt)",1.043652759356088,0.0010584937950701,300.0
104,Li6,"(n,Xt)",0.0458621598043708,0.0002449546224116,350.0
101,Li7,"(n,Xt)",0.0580991972522726,0.0001149083297388,350.0
104,Li7,"(n,Xt)",0.0006693589003372,1.2620777790518558e-05,350.0
98,Li7,"(n,Xt)",0.0170862683924792,2.053470388424277e-05,350.0
98,Li6,"(n,Xt)",0.088978462500363,0.0001326646396726,350.0
101,Li6,"(n,Xt)",1.048596054284456,0.0009012415254889,350.0
111,Li6,"(n,Xt)",0.088802319348845,0.0002184404456883,400.0
111,Li7,"(n,Xt)",0.0167030384672895,1.787059285616776e-05,400.0
114,Li6,"(n,Xt)",1.0535724285361276,0.0006348673854906,400.0
114,Li7,"(n,Xt)",0.0561793481222568,0.00010842346492,400.0
117,Li6,"(n,Xt)",0.0476020033605964,0.0003835227506669,400.0
117,Li7,"(n,Xt)",0.0006234101730419,1.1951212436176604e-05,400.0
130,Li6,"(n,Xt)",0.0487943747449841,0.0002476199189094,450.0
130,Li7,"(n,Xt)",0.0005800507741915,1.083485634434813e-05,450.0
127,Li7,"(n,Xt)",0.0540907041945213,0.0001204531014523,450.0
127,Li6,"(n,Xt)",1.0606855692771195,0.0012498242771417,450.0
124,Li7,"(n,Xt)",0.0162760699627015,1.723438723663749e-05,450.0
124,Li6,"(n,Xt)",0.0880474221875878,0.0001842337375662,450.0
137,Li6,"(n,Xt)",0.0873604778961428,0.000222562641247,500.0
137,Li7,"(n,Xt)",0.0157746018898165,1.5863651513945902e-05,500.0
140,Li6,"(n,Xt)",1.066237538761064,0.0014687211526873,500.0
140,Li7,"(n,Xt)",0.0517370205658153,0.0001052384966054,500.0
143,Li6,"(n,Xt)",0.0501671340351195,0.0002122370529114,500.0
143,Li7,"(n,Xt)",0.0005351163565226,1.0127615607314336e-05,500.0
156,Li7,"(n,Xt)",0.0005031091844874,1.3666211737868417e-05,550.0
156,Li6,"(n,Xt)",0.0518660315896526,0.0004014303116341,550.0
153,Li7,"(n,Xt)",0.0491196533318114,0.0001027429650271,550.0
150,Li6,"(n,Xt)",0.087173502065145,0.0001792859435269,550.0
150,Li7,"(n,Xt)",0.0152175594829358,1.7482139954280363e-05,550.0
153,Li6,"(n,Xt)",1.0723799540754722,0.0014358430397682,550.0
169,Li6,"(n,Xt)",0.0540015831575854,0.0002723229023937,600.0
169,Li7,"(n,Xt)",0.000447125886944,1.2974773630808268e-05,600.0
166,Li7,"(n,Xt)",0.0461778615070936,0.0001005651451554,600.0
163,Li6,"(n,Xt)",0.0858055983308075,0.0002522694537179,600.0
163,Li7,"(n,Xt)",0.0145776689476758,1.772861327328069e-05,600.0
166,Li6,"(n,Xt)",1.0805303144440417,0.0008124717682565,600.0
176,Li6,"(n,Xt)",0.084499877723527,0.0001699112013481,650.0
176,Li7,"(n,Xt)",0.0138288227813104,1.4032940110276536e-05,650.0
179,Li6,"(n,Xt)",1.0880890307820816,0.0012472803957591,650.0
179,Li7,"(n,Xt)",0.0429198584708544,8.060019859976042e-05,650.0
182,Li6,"(n,Xt)",0.0573843648386961,0.0001681255059973,650.0
182,Li7,"(n,Xt)",0.0003867937035159,7.0022567597214224e-06,650.0
195,Li6,"(n,Xt)",0.0613457803296131,0.0003141027247658,700.0
195,Li7,"(n,Xt)",0.0003361103193686,6.572584912750106e-06,700.0
192,Li7,"(n,Xt)",0.0391818396666987,8.576480635446795e-05,700.0
189,Li7,"(n,Xt)",0.0129328853482906,1.381724897768228e-05,700.0
189,Li6,"(n,Xt)",0.0826467276509175,0.0001249708675721,700.0
192,Li6,"(n,Xt)",1.0945615042438432,0.0016420177978231,700.0
202,Li6,"(n,Xt)",0.0801496208984819,0.0001382848976827,750.0
202,Li7,"(n,Xt)",0.0118579970261564,1.3114124813880577e-05,750.0
205,Li6,"(n,Xt)",1.1005165173207687,0.0007803559592891,750.0
205,Li7,"(n,Xt)",0.0349091884576447,8.509474514755782e-05,750.0
208,Li6,"(n,Xt)",0.0673492849884235,0.0004893786721319,750.0
208,Li7,"(n,Xt)",0.0002794962583065,6.953978996152319e-06,750.0
221,Li6,"(n,Xt)",0.0765610148073469,0.0004185114580878,800.0
221,Li7,"(n,Xt)",0.0002152063961234,4.89095425401848e-06,800.0
218,Li7,"(n,Xt)",0.0300154873253187,5.673604477254857e-05,800.0
218,Li6,"(n,Xt)",1.1023249526267578,0.000955221838667,800.0
215,Li7,"(n,Xt)",0.0105442324394177,1.1671742772908628e-05,800.0
215,Li6,"(n,Xt)",0.0763575656207959,0.0001185697996781,800.0
228,Li6,"(n,Xt)",0.0714347452833961,9.041922106270448e-05,850.0
228,Li7,"(n,Xt)",0.0089077243410719,8.469475108916949e-06,850.0
231,Li6,"(n,Xt)",1.095837350324533,0.0013921843679788,850.0
231,Li7,"(n,Xt)",0.0242129213202584,3.450492888530826e-05,850.0
234,Li6,"(n,Xt)",0.0914071502702903,0.0003553960395681,850.0
234,Li7,"(n,Xt)",0.0001545044574177,4.949408279864305e-06,850.0
244,Li7,"(n,Xt)",0.0174077734686266,2.577687564635149e-05,900.0
244,Li6,"(n,Xt)",1.0623308494916466,0.0012257357690786,900.0
247,Li6,"(n,Xt)",0.1192785573759241,0.000467622438084,900.0
241,Li6,"(n,Xt)",0.0629192641219469,0.0001196245840372,900.0
241,Li7,"(n,Xt)",0.00680197666531,8.214113494469586e-06,900.0
247,Li7,"(n,Xt)",9.16077442199928e-05,2.346928044327021e-06,900.0
