enrichment,bare,8_slry_50_mlt_0_ref_0_pp.csv,8_slry_100_mlt_0_ref_0_pp.csv,8_slry_150_mlt_0_ref_0_pp.csv,8_slry_200_mlt_0_ref_0_pp.csv,8_slry_250_mlt_0_ref_0_pp.csv,8_slry_1000_mlt_0_ref_0_pp.csv
0.01,0.000474573,0.0005025209503331,0.0004870198866691,0.0006639175518535,0.000344578587616,0.0004058512320516,0.0
7.5,0.000587528,0.0010878274105046,0.0006635107877971,0.0008698656564072,0.0014640672072639,0.0009210638244262,0.0
15.0,0.001251596,0.0006842581213811,0.0014302320796823,0.0011256571452405,0.0009365972733257,0.00155135123546,0.0
25.0,0.001272486,0.0012916269765974,0.001082421972111,0.001304831944699,0.001261597415332,0.0012553193479235,0.0
50.0,0.001310144,0.0013221705151828,0.0013504363029808,0.0009487170801214,0.0011527712505006,0.0009773236711245,0.0
75.0,0.00113424,0.0012600676344262,0.0011347929389406,0.0009743299319055,0.0011088303939805,0.001443693481636,0.0
99.99,0.001036591,0.001075942744204,0.0009579007939831,0.0011851094604959,0.0013374321483804,0.0013854938761431,0.0
