gap_10_pp.csv,gap_15_pp.csv,gap_20_pp.csv,gap_30_pp.csv,gap_40_pp.csv,gap_50_pp.csv,gap_5_pp.csv,gap_60_pp.csv,gap_70_pp.csv,gap_80_pp.csv,gap_90_pp.csv
1.273673463156629,1.263295982180221,1.257301634502224,1.2472374925356815,1.244345500106946,1.2412927102525115,1.2784360226972336,1.2410931575354889,1.241399683457546,1.2395338222579644,1.2396507304658086
1.2746202437518577,1.265466729040856,1.260078820013924,1.248465862106714,1.245456813256437,1.2434131685800842,1.280910223772591,1.2423671962432852,1.2416555664320676,1.2396421493010843,1.24019349372091
1.2761019772438646,1.265386351227762,1.2627097871395652,1.250368424478952,1.2469897637886058,1.244853279182738,1.2839708758320023,1.2440057779921796,1.2428089101036253,1.2419851101226982,1.2430756546202333
1.279171468428785,1.2690328816160668,1.2657008780575911,1.2552600532306408,1.2498515959935828,1.248314983968833,1.2883027376700569,1.2469608760004545,1.246888878709382,1.245712768610179,1.2461905748473614
1.2834757275346276,1.2728309835236118,1.2663680947261728,1.2567293228958445,1.2540933664255554,1.2515309129831986,1.2900742792733138,1.2504276641449683,1.251266402185384,1.249663201088694,1.249803173363566
1.2853283601936345,1.275260338099824,1.2693710995690397,1.259799604128128,1.2571206146642095,1.2542147805645347,1.290518995570267,1.253997055098855,1.2537461581478746,1.2533179375257977,1.253363693169933
1.2859518146167317,1.2777921001952697,1.2714707286462954,1.264130796640938,1.259757744185222,1.257107455187987,1.2953809368319589,1.256534569952266,1.25718714333824,1.2566172970405112,1.257110754375521
1.2892959677805005,1.2821643549166468,1.2747375790636613,1.2667909158470114,1.261529283401304,1.260566336737865,1.2960373224114838,1.259866540906483,1.259154528592874,1.258295205641938,1.2602623355431088
1.2936320880642656,1.286605281650008,1.279218039781114,1.2737087210818152,1.2665558944457271,1.264249009820286,1.2997089369206674,1.2638140160972282,1.263362657569098,1.2623660194156283,1.2628764490156503
1.2978984314403472,1.289690294743974,1.2826252605102173,1.2740936764782835,1.272194283246272,1.2692402116530832,1.3028767514088633,1.2689205768215257,1.2687322828819518,1.2689462352685903,1.268110330859403
1.3006819392076174,1.2934245659008308,1.286330867304235,1.280087984177297,1.2756047415896854,1.2726564607338666,1.3047877710840052,1.2719364951598575,1.2722756906443935,1.2728986542269871,1.271929877746646
1.3053508556309972,1.297301776650238,1.29186678219916,1.2839990043861995,1.2784655733169692,1.2772249747025943,1.3105441646749658,1.277721995249231,1.2775835065190912,1.2760364143816794,1.2768394723533818
1.3101177377128523,1.3024887181665514,1.297575667009315,1.287066001551084,1.283412012311358,1.282985652660388,1.315425711261242,1.282544413287726,1.2830149187722202,1.2807704784230995,1.2808869396799671
1.314474612287933,1.3085859100403805,1.301140135385783,1.2933175181754075,1.2896890036671145,1.2886149636014712,1.3172310915841694,1.288008260288412,1.2880758743935126,1.2865187064480454,1.287755378662488
1.3201238481511752,1.3112005022097053,1.3052756361483029,1.2982411361138688,1.2949353231585428,1.2927469508899427,1.3207054885905145,1.2921672664803263,1.2919272801600843,1.2909445566545512,1.292024934090685
1.3232069770857693,1.3165129977390564,1.30909000467388,1.3029434092966008,1.2970918404078189,1.296772122528807,1.3250350832874205,1.2965744913385977,1.2953654145980342,1.2958256860865227,1.295384797860037
1.3291207547233408,1.320355069877159,1.314658651873861,1.304498145042382,1.3004106414125884,1.2988822580220654,1.3233343638939423,1.2978209964593492,1.2968198806072475,1.2969000757362747,1.2964881435190037
1.3226409998670785,1.3188100789796913,1.3120005240429615,1.3016829680036708,1.2963161968526005,1.295423609948143,1.3229100171895851,1.295384841650077,1.2938176990978567,1.293564670805816,1.2925329857174117
1.3076369734877868,1.306144461362923,1.2972620603463432,1.2829999491716797,1.2763658789966452,1.274353800676474,1.3015421443428017,1.2730757025705914,1.2713351350666928,1.2695471755186831,1.2699194344792877
