wppm,mean,std. dev.
0.0,1.341991698629838,0.0016658057202420789
50.0,1.341850414646222,0.0013576357280388092
100.0,1.3414883641774957,0.0016309601977606844
150.0,1.3399533891363247,0.0014332205799541724
200.0,1.3380389829175279,0.0015539351869754093
250.0,1.3365700821922648,0.0018083102721804065
300.0,1.3339852061714286,0.0012874285735523779
350.0,1.3346285452770805,0.0012457612461852952
400.0,1.3308101091131102,0.0010956570977197911
450.0,1.3286692779492377,0.001696402648248893
500.0,1.3251034508514112,0.0011804520358851252
550.0,1.3204058556182001,0.001830253751730966
600.0,1.3159445993329857,0.0013116756989372902
650.0,1.3083884202720077,0.001654813369508089
700.0,1.2984464977299517,0.0010649080273192816
750.0,1.2897703905026703,0.00144822121888584
800.0,1.2700550105825115,0.0016078370476135658
850.0,1.238063455417162,0.0014088997379495156
900.0,1.1802801381460641,0.0009994121976072104
