wppm,mean,std. dev.
0.0,1.3013617958407606,0.0010852541013857883
50.0,1.3025703773623714,0.0017689648621822835
100.0,1.3032741324354848,0.0016104862099085577
150.0,1.303142455306455,0.0013393571414774634
200.0,1.3043325348160069,0.0013301871448710744
250.0,1.304789563919075,0.000800987434958345
300.0,1.3037792984699161,0.0008576174219440426
350.0,1.3044381051270906,0.0010867605737460175
400.0,1.3050918538154497,0.0014152097662297422
450.0,1.30328015924112,0.001405587295635258
500.0,1.3049623643413168,0.0008134739344479607
550.0,1.30411323557119,0.0009163504323056252
600.0,1.3043466578922331,0.0008279135389843665
650.0,1.3035573113472507,0.001558906624358316
700.0,1.2996414754579273,0.0013287724610859186
750.0,1.2915522017777217,0.0013656903797393033
800.0,1.2807567464387313,0.0011774667048367138
850.0,1.261278014358525,0.0013337229349829204
900.0,1.2122526834096543,0.0013841454308148864
