cell,nuclide,score,mean,std. dev.
10,Li6,"(n,Xt)",0.8375954042649223,0.0012683721540185028
10,Li7,"(n,Xt)",0.0931663644830707,0.00020165232762516444
6,Li6,"(n,Xt)",0.024817247634116982,6.662008915510674e-05
6,Li7,"(n,Xt)",0.021764482476926663,3.409114374730794e-05
