cell,nuclide,score,mean,std. dev.
140,Li6,"(n,Xt)",1.19656931827322,0.001026221097302823
140,Li7,"(n,Xt)",0.021758003398711583,8.808167276089895e-05
137,Li6,"(n,Xt)",0.10848171324240367,0.00019500456623441253
137,Li7,"(n,Xt)",0.013646177952630461,1.4599873228498503e-05
