enrichment,bare,26_slry_0_mlt_1_ref_0.2_pp.csv,26_slry_0_mlt_1_ref_0.4_pp.csv,26_slry_0_mlt_1_ref_0.6_pp.csv,26_slry_0_mlt_1_ref_0.8_pp.csv,26_slry_0_mlt_1_ref_1_pp.csv
0.01,0.428365167,0.4121644985084641,0.4123943917521981,0.4127021114484338,0.412974987065584,0.4131538539216691
7.5,1.176862447,1.1986710356614416,1.198711221510831,1.198714436638877,1.198724669213563,1.1987798615111944
15.0,1.209729528,1.240811018029758,1.240829337683182,1.2408291062537764,1.240900362987185,1.2408652457098028
25.0,1.223575556,1.2624007708663392,1.2623933923745383,1.2623871745114423,1.2624027378372238,1.2624089142191812
50.0,1.220874813,1.2717036103785446,1.2717068890756775,1.2717528084333272,1.271736806126943,1.2717462654713525
75.0,1.206134367,1.2628830480810544,1.2629392957244832,1.2629027587962829,1.2629050547424303,1.2628988484302124
99.99,1.189121384,1.2473188582507864,1.2473665506487923,1.247354484574834,1.2473693353270552,1.247352589663898
