enrichment,bare,7_slry_0_mlt_0.2_ref_0.5_pp.csv,7_slry_0_mlt_0.2_ref_1.5_pp.csv,7_slry_0_mlt_0.2_ref_1_pp.csv,7_slry_0_mlt_0.2_ref_2_pp.csv,7_slry_0_mlt_0.4_ref_0.5_pp.csv,7_slry_0_mlt_0.4_ref_1.5_pp.csv,7_slry_0_mlt_0.4_ref_1_pp.csv,7_slry_0_mlt_0.4_ref_2_pp.csv,7_slry_0_mlt_0.6_ref_0.5_pp.csv,7_slry_0_mlt_0.6_ref_1.5_pp.csv,7_slry_0_mlt_0.6_ref_1_pp.csv,7_slry_0_mlt_0.6_ref_2_pp.csv,7_slry_0_mlt_0.8_ref_0.5_pp.csv,7_slry_0_mlt_0.8_ref_1.5_pp.csv,7_slry_0_mlt_0.8_ref_1_pp.csv,7_slry_0_mlt_0.8_ref_2_pp.csv,7_slry_0_mlt_1_ref_0.5_pp.csv,7_slry_0_mlt_1_ref_1.5_pp.csv,7_slry_0_mlt_1_ref_1_pp.csv,7_slry_0_mlt_1_ref_2_pp.csv
0.01,0.428365167,0.4287933000434892,0.4300642349666729,0.4295206600652864,0.4306727479802957,0.4281757507949609,0.4294464545254704,0.4288806234495582,0.4300223124408703,0.4281029055092681,0.4294137443385983,0.4288392146459843,0.4299902370692377,0.4282166006149158,0.4295154556776521,0.4288484372695172,0.4301568224111533,0.427672907655317,0.4291215245007349,0.4283102516333404,0.4296560961904383
7.5,1.176862447,1.183439780566565,1.1834521639883224,1.1834817288713126,1.1834763494875995,1.1910344745126151,1.191104281423313,1.1910454897414484,1.1910714546603711,1.197391604198261,1.197498498339183,1.1974052523526022,1.1975013646202963,1.2030532565058574,1.203114751333354,1.2031065956722804,1.2031338910974545,1.2098645123893264,1.2099042591769231,1.2099919212323484,1.209917181953324
15.0,1.209729528,1.2179491025291826,1.2180261693843073,1.2179921421770472,1.2180563585901505,1.225979575349894,1.2260040471956977,1.2259875777486793,1.226059910325064,1.2307661470006208,1.2308008087976006,1.230755451656549,1.2308449089659717,1.237537863188479,1.237612873416999,1.237604960316511,1.2376287528155288,1.2461542694836096,1.2462401108931664,1.2462269897134273,1.2462777519333603
25.0,1.223575556,1.2323242179427614,1.232345348507877,1.2322987706898267,1.2323771920939457,1.2415756282716306,1.241609675238886,1.2415428367396149,1.2416068793617052,1.2483603316669425,1.248406869912248,1.2483481287238298,1.2484035767188506,1.2562103205981934,1.2562453874832633,1.2562180970439458,1.2562597269127296,1.2636543161926967,1.2637106283753674,1.263692580132834,1.263704469210462
50.0,1.220874813,1.231787745229405,1.2317627355995946,1.231787287620896,1.2317758358021251,1.241830579620154,1.2418678962003054,1.241871783131552,1.2418755085484372,1.249898481118637,1.2498966590673404,1.249901158320923,1.2499344201028926,1.2600113850528618,1.2600041484383344,1.260035808524813,1.260034351951626,1.2693126558234729,1.2692886001026755,1.2693137084856003,1.269316419468602
75.0,1.206134367,1.2193168909866496,1.2193471674513934,1.219344194458993,1.2193693261412453,1.230772256469329,1.2308153114151057,1.230809599806045,1.230824906095742,1.2391680490555688,1.2392080276475903,1.2391930681506174,1.2392217254294786,1.2481107707757155,1.2481135502757017,1.248139116602637,1.2481491479686289,1.259300406646789,1.2592675751211408,1.2592920664616971,1.2593076555337448
99.99,1.189121384,1.198926568554856,1.1989295374403468,1.198944564320065,1.1989349508895462,1.210494227656841,1.2105177256684307,1.210505424064182,1.2105269867366628,1.2215108827073025,1.221500118926819,1.2215074564839998,1.2214948007404691,1.231296601814029,1.231289359154652,1.231291129923744,1.2313042559038527,1.242704363833031,1.2426987494214248,1.2427193970992971,1.2427328203525994
