enrichment,mean,std. dev.
0.01,1.08286598910401,0.0010274473500701228
7.5,1.2347171123880225,0.001278629896550311
15.0,1.2678121123813135,0.0007896805571354899
25.0,1.289443632917786,0.0008372500240142501
50.0,1.2969963238291893,0.0013831195803364802
75.0,1.293148068480988,0.0014541033399535404
99.99,1.2828923403563566,0.0016141807641973428
