mesh 2,mesh 2,mesh 2,nuclide,score,mean,std. dev.
x,y,z,,,,
75,1,1,total,"(n,Xt)",0.0,0.0
75,1,1,total,heating-local,0.0,0.0
75,1,1,total,absorption,0.0,0.0
76,1,1,total,flux,1.7983901175858891e-06,1.7983901175858894e-06
76,1,1,total,"(n,Xt)",0.0,0.0
76,1,1,total,heating-local,0.0,0.0
76,1,1,total,absorption,0.0,0.0
77,1,1,total,flux,1.7612088604797977e-06,1.761208860479798e-06
77,1,1,total,"(n,Xt)",0.0,0.0
77,1,1,total,heating-local,0.0,0.0
77,1,1,total,absorption,0.0,0.0
78,1,1,total,flux,1.7275500000817705e-06,1.7275500000817705e-06
78,1,1,total,"(n,Xt)",0.0,0.0
78,1,1,total,heating-local,0.0,0.0
78,1,1,total,absorption,0.0,0.0
79,1,1,total,flux,5.898318280937575e-07,5.898318280937575e-07
79,1,1,total,"(n,Xt)",0.0,0.0
79,1,1,total,heating-local,0.0,0.0
79,1,1,total,absorption,0.0,0.0
80,1,1,total,flux,0.0,0.0
80,1,1,total,"(n,Xt)",0.0,0.0
80,1,1,total,heating-local,0.0,0.0
80,1,1,total,absorption,0.0,0.0
81,1,1,total,flux,0.0,0.0
81,1,1,total,"(n,Xt)",0.0,0.0
81,1,1,total,heating-local,0.0,0.0
81,1,1,total,absorption,0.0,0.0
82,1,1,total,flux,1.2329404458872648e-06,1.2329404458872648e-06
82,1,1,total,"(n,Xt)",0.0,0.0
82,1,1,total,heating-local,0.0,0.0
82,1,1,total,absorption,2.2608755321632703e-09,2.2608755321632703e-09
83,1,1,total,flux,0.0,0.0
83,1,1,total,"(n,Xt)",0.0,0.0
83,1,1,total,heating-local,0.0,0.0
83,1,1,total,absorption,0.0,0.0
84,1,1,total,flux,3.840014394929037e-07,2.6650527498432336e-07
84,1,1,total,"(n,Xt)",0.0,0.0
84,1,1,total,heating-local,0.0,0.0
84,1,1,total,absorption,9.600042418031696e-10,9.600042418031696e-10
85,1,1,total,flux,2.592292412282873e-06,1.7286295350476561e-06
85,1,1,total,"(n,Xt)",0.0,0.0
85,1,1,total,heating-local,0.0,0.0
85,1,1,total,absorption,5.044903605912036e-09,5.044903605912036e-09
86,1,1,total,flux,2.0881306186620777e-06,1.430047171010568e-06
86,1,1,total,"(n,Xt)",0.0,0.0
86,1,1,total,heating-local,0.0,0.0
86,1,1,total,absorption,5.019017366038276e-09,5.019017366038277e-09
87,1,1,total,flux,1.7534445692903805e-06,1.2994458321443952e-06
87,1,1,total,"(n,Xt)",0.0,0.0
87,1,1,total,heating-local,0.0,0.0
87,1,1,total,absorption,4.994398206036347e-09,4.994398206036346e-09
88,1,1,total,flux,2.895363419592884e-06,1.952264738751371e-06
88,1,1,total,"(n,Xt)",0.0,0.0
88,1,1,total,heating-local,0.0,0.0
88,1,1,total,absorption,4.970959123888036e-09,4.970959123888036e-09
89,1,1,total,flux,2.8672922431075283e-06,1.9319074505000216e-06
89,1,1,total,"(n,Xt)",0.0,0.0
89,1,1,total,heating-local,0.0,0.0
89,1,1,total,absorption,4.948620854367413e-09,4.948620854367413e-09
90,1,1,total,flux,1.3693262785156294e-06,1.2328911537533512e-06
90,1,1,total,"(n,Xt)",0.0,0.0
90,1,1,total,heating-local,0.0,0.0
90,1,1,total,absorption,4.9273110246172225e-09,4.9273110246172225e-09
91,1,1,total,flux,1.2354164874387837e-06,1.2354164874387837e-06
91,1,1,total,"(n,Xt)",0.0,0.0
91,1,1,total,heating-local,0.0,0.0
91,1,1,total,absorption,4.906963418616495e-09,4.906963418616494e-09
92,1,1,total,flux,1.2305205852250797e-06,1.2305205852250797e-06
92,1,1,total,"(n,Xt)",0.0,0.0
92,1,1,total,heating-local,0.0,0.0
92,1,1,total,absorption,4.887517334394666e-09,4.887517334394666e-09
93,1,1,total,flux,1.225837620951481e-06,1.225837620951481e-06
93,1,1,total,"(n,Xt)",0.0,0.0
93,1,1,total,heating-local,0.0,0.0
93,1,1,total,absorption,4.8689170205613315e-09,4.868917020561332e-09
94,1,1,total,flux,1.5202913908198004e-06,1.5202913908198002e-06
94,1,1,total,"(n,Xt)",0.0,0.0
94,1,1,total,heating-local,0.0,0.0
94,1,1,total,absorption,4.85111118089639e-09,4.85111118089639e-09
95,1,1,total,flux,2.2966962824264678e-06,2.2966962824264674e-06
95,1,1,total,"(n,Xt)",0.0,0.0
95,1,1,total,heating-local,0.0,0.0
95,1,1,total,absorption,4.834052537549014e-09,4.834052537549014e-09
96,1,1,total,flux,2.2925562167079225e-06,2.292556216707923e-06
96,1,1,total,"(n,Xt)",0.0,0.0
96,1,1,total,heating-local,0.0,0.0
96,1,1,total,absorption,4.8176974448706605e-09,4.8176974448706605e-09
97,1,1,total,flux,2.288583815648096e-06,2.2885838156480965e-06
97,1,1,total,"(n,Xt)",0.0,0.0
97,1,1,total,heating-local,0.0,0.0
97,1,1,total,absorption,4.8020055471298105e-09,4.80200554712981e-09
98,1,1,total,flux,2.284769642318765e-06,2.2847696423187647e-06
98,1,1,total,"(n,Xt)",0.0,0.0
98,1,1,total,heating-local,0.0,0.0
98,1,1,total,absorption,4.786939474369515e-09,4.786939474369516e-09
99,1,1,total,flux,2.2811049447493736e-06,2.2811049447493736e-06
99,1,1,total,"(n,Xt)",0.0,0.0
99,1,1,total,heating-local,0.0,0.0
99,1,1,total,absorption,4.772464571517274e-09,4.772464571517274e-09
100,1,1,total,flux,2.2775815949576673e-06,2.2775815949576673e-06
100,1,1,total,"(n,Xt)",0.0,0.0
100,1,1,total,heating-local,0.0,0.0
100,1,1,total,absorption,4.7585486565621006e-09,4.7585486565621006e-09
101,1,1,total,flux,2.2741920343992637e-06,2.2741920343992637e-06
101,1,1,total,"(n,Xt)",0.0,0.0
101,1,1,total,heating-local,0.0,0.0
101,1,1,total,absorption,4.745161804206409e-09,4.74516180420641e-09
102,1,1,total,flux,2.270929225059604e-06,2.270929225059604e-06
102,1,1,total,"(n,Xt)",0.0,0.0
102,1,1,total,heating-local,0.0,0.0
