enrichment,bare,3a_slry_50_mlt_0_ref_0_pp.csv,3a_slry_100_mlt_0_ref_0_pp.csv,3a_slry_150_mlt_0_ref_0_pp.csv,3a_slry_200_mlt_0_ref_0_pp.csv,3a_slry_250_mlt_0_ref_0_pp.csv,3a_slry_1000_mlt_0_ref_0_pp.csv
0.01,0.428365167,0.9792196061299252,1.0344005832990564,1.0624512121055072,1.0806458538479895,1.0914459857535916,1.099252820520298
7.5,1.176862447,1.1723538804688127,1.1692777013340083,1.1638928985250738,1.1596626830373569,1.1553002085229838,1.0992528205202932
15.0,1.209729528,1.20218021460151,1.1964774600450068,1.1914357113702911,1.183660571065759,1.1780431257399746,1.0992528205202938
25.0,1.223575556,1.2166700729954611,1.2090664209288633,1.2033513071883777,1.1945711979881788,1.1891490323566671,1.0992528205202876
50.0,1.220874813,1.215963720547684,1.211168482128982,1.2060831611614098,1.199848658788755,1.1938413745672334,1.0992528205202927
75.0,1.206134367,1.2020570425174593,1.198910253372102,1.1965904081038248,1.1915414153918105,1.18695848850948,1.0992528205202827
99.99,1.189121384,1.1876384551141883,1.1841332138980785,1.1822354999614586,1.178743705955238,1.1746348924839856,1.0992528205202854
