enrichment,bare,14_slry_250_mlt_10_ref_0_pp.csv,14_slry_250_mlt_12_ref_0_pp.csv,14_slry_250_mlt_14_ref_0_pp.csv,14_slry_250_mlt_16_ref_0_pp.csv,14_slry_250_mlt_18_ref_0_pp.csv,14_slry_250_mlt_20_ref_0_pp.csv,14_slry_250_mlt_22_ref_0_pp.csv,14_slry_250_mlt_24_ref_0_pp.csv,14_slry_250_mlt_26_ref_0_pp.csv,14_slry_250_mlt_9.5_ref_0_pp.csv,14_slry_250_mlt_9_ref_0_pp.csv
0.01,0.428365167,0.3694143286738094,0.3604539941037897,0.3487930687679528,0.3385898266540638,0.3278117438278101,0.3167010551358294,0.3055591106546791,0.2945872296351697,0.2829329010137829,0.371718697949834,0.3749647850585065
7.5,1.176862447,1.3469728733021449,1.344613686459745,1.3460066296459754,1.3380869436236655,1.330058991658967,1.318241513692792,1.3080681447964897,1.294376459377489,1.27975128935276,1.3423894891586274,1.340597774765369
15.0,1.209729528,1.4073260785631831,1.4116632199305787,1.412827530162163,1.4086683633534944,1.4062255343848176,1.4004290441262144,1.3901420447827628,1.3797513458768251,1.3689501925136034,1.4033767572434572,1.4009211505470152
25.0,1.223575556,1.4466586447658718,1.453437666040853,1.4602741662084882,1.458271479965925,1.457601675472081,1.4547532375282537,1.448936534244364,1.4412005411411877,1.4298202508149036,1.4411786416964802,1.436784210760164
50.0,1.220874813,1.4861075584404102,1.5001442464063424,1.510354380813545,1.5152449733155933,1.5163126954490762,1.5181728997949622,1.5149076974268134,1.5093296105864695,1.5036391307038943,1.4821911963715535,1.4757838069655398
75.0,1.206134367,1.499424523537111,1.518515586299309,1.5324907184521634,1.5407124651627304,1.5453768160079508,1.5485877133564785,1.5458017778260362,1.5434059102787347,1.5414400583609698,1.49252088344636,1.4881991528184433
99.99,1.189121384,1.5066385069872537,1.5258629469244531,1.5403354414842734,1.5544274896345525,1.5598453154946752,1.5630486313960723,1.5635291074474589,1.5641752979033683,1.5608921213522575,1.5007193702569297,1.4930658909533971
