mlt_0.5_pp.csv,mlt_1.5_pp.csv,mlt_10.5_pp.csv,mlt_10_pp.csv,mlt_11.5_pp.csv,mlt_11_pp.csv,mlt_12_pp.csv,mlt_1_pp.csv,mlt_2.5_pp.csv,mlt_2_pp.csv,mlt_3.5_pp.csv,mlt_3_pp.csv,mlt_4.5_pp.csv,mlt_4_pp.csv,mlt_5.5_pp.csv,mlt_5_pp.csv,mlt_6.5_pp.csv,mlt_6_pp.csv,mlt_7.5_pp.csv,mlt_7_pp.csv,mlt_8.5_pp.csv,mlt_8_pp.csv,mlt_9.5_pp.csv,mlt_9_pp.csv
1.198116474354155,1.223720409568593,1.3412179376151057,1.3418682384336091,1.338038982917528,1.339708349067094,1.337666845357456,1.2123826973153833,1.246551509788202,1.2351075895408368,1.2724536840671803,1.259758692820187,1.293016770614375,1.281501622230382,1.3093891185641715,1.3043325348160069,1.3249782873295677,1.3178967830690005,1.3325904713956471,1.3294710490754251,1.3373960243329934,1.3364834677868267,1.3406068712444068,1.342156308790093
1.200944146732149,1.2241333652493094,1.3363358363118338,1.3388243687302224,1.3365700821922648,1.3375056975258364,1.3345935318533793,1.2146719392801766,1.2488008640382413,1.2383755138217862,1.274135202056052,1.2626082560385683,1.2939546355111609,1.285803698689317,1.309336156661316,1.304789563919075,1.3253517826034558,1.3177786592753242,1.3313090839679718,1.3279878864988377,1.335552732124863,1.3340700514749275,1.3398527232861384,1.3393808787608144
1.208191656019301,1.2307811248055818,1.337308285817787,1.3360330620548042,1.3339852061714286,1.3347017172459,1.3324837819833546,1.2188426827960528,1.251845969487746,1.2403829566339932,1.2783783685343402,1.2669815519501475,1.297574530981811,1.2867545918639796,1.3119738026168093,1.303779298469916,1.3247128997094753,1.3183092325649068,1.3305899702251256,1.3273496543046963,1.3344942782036804,1.332968173207696,1.33768053951769,1.3379169808886904
1.210748990012286,1.2337910875051328,1.3358635835879038,1.3359204342032225,1.3346285452770803,1.3344009852226495,1.330827719126717,1.2219892412938764,1.2559213884149003,1.2451087979843365,1.2767931755071684,1.2688799998601306,1.296471672956442,1.2876266961007552,1.3120792374425247,1.3044381051270906,1.3227977947334526,1.316564971799053,1.3314739382733347,1.3267128537539574,1.3360657295363008,1.3334347421643238,1.3380474159565745,1.3379736996976608
1.2177339936691811,1.2367225590965576,1.3339710939808966,1.3346427441259092,1.3308101091131102,1.3326639568929424,1.3293677912774482,1.2249521581362952,1.25746554464597,1.246846881510253,1.27751012765979,1.268054165744669,1.298526102668747,1.288160761652135,1.3115746414606289,1.3050918538154497,1.323418453505725,1.3189623327772138,1.329944039343298,1.327470887775389,1.332528058519587,1.3344747235084016,1.3370561994350088,1.3375418010025657
1.2204121298868589,1.2405530273281982,1.331904699545917,1.3315451763947617,1.3286692779492375,1.3292821135509216,1.32677907847393,1.2303723928193684,1.2613476986542245,1.250840630399959,1.2794026260079367,1.2709960322603624,1.2974620693453285,1.2889169513377658,1.3091906652672989,1.30328015924112,1.3198719504415348,1.3154275201089634,1.3285703438384089,1.3247996137090603,1.329867225751994,1.3305367102918677,1.3333681083092528,1.3330103506214628
1.22837192547107,1.2425869497343085,1.3269850156669265,1.3280372133537122,1.3251034508514112,1.3253001379091958,1.3221808198634712,1.233781453178813,1.261723972565851,1.251881650796045,1.2821704980554507,1.2718737674292806,1.2979704958582967,1.289645038546278,1.309012466848258,1.3049623643413168,1.3204107090835038,1.3140327148923248,1.3260068200609472,1.3245997211205942,1.3277197635570592,1.3282526649216917,1.3294855634771898,1.3301606311409284
1.2321913829215123,1.2486126645389202,1.3235289431935835,1.3259771895764876,1.3204058556182,1.3236062438540657,1.3175492266577404,1.2391342265677312,1.2650842119256542,1.2576012044495275,1.2822112541034512,1.2731193478775258,1.2984350571494556,1.290704551163833,1.3108927993665949,1.30411323557119,1.318178916056231,1.3145659923555593,1.324846215427289,1.3231722832965538,1.3271344552644913,1.325456998104949,1.3266682365249138,1.3284554274242626
1.2392200238994238,1.2498549484216548,1.3208616628877472,1.3224709638969558,1.3159445993329857,1.3193290759642875,1.3148156600937877,1.2435149778724817,1.266183869054268,1.25855380023319,1.2837126997385544,1.2750900321833225,1.2975029660588917,1.2885766633098992,1.3103729078050996,1.3043466578922331,1.3164694895858096,1.3123837700131389,1.3220444448665352,1.3194949925992765,1.3231010778600916,1.325115118868735,1.323556996576038,1.324614908818157
1.2453219797869493,1.2542406825920878,1.313210616769056,1.3149543549479492,1.3083884202720075,1.3110834655597976,1.3068796582749267,1.2475346121963269,1.270058879507854,1.2629672701203944,1.283648254451757,1.2777577031165264,1.2991309745550983,1.2915242471628112,1.305068557540973,1.3035573113472507,1.3110107859277689,1.309371323743943,1.3167035774864546,1.3149567770009636,1.3187720081542462,1.319861467228126,1.3162419818252962,1.318280290288357
1.252524042592034,1.2571908351461647,1.305216775084204,1.308657951955127,1.2984464977299517,1.3041346248976986,1.2973042717157135,1.2545670707674548,1.2705750305449588,1.2649041306103146,1.2822411375515177,1.276661512079271,1.295370616460692,1.2898764796903182,1.3007791246895763,1.2996414754579273,1.307363942681963,1.3059037074741078,1.3082600387363867,1.3091872243008955,1.3110225727570153,1.3111136205711975,1.3095981082674355,1.3121158415606158
1.2563054787350836,1.262107474623141,1.2934415089648297,1.29571808635732,1.2897703905026705,1.2921111915677124,1.2846018454885193,1.2590024427661486,1.2694398628839314,1.2634197873566575,1.2794912811915615,1.2738880834121389,1.2882203038354716,1.284984295231508,1.2950190277074258,1.2915522017777217,1.2993414330381163,1.298830475495752,1.3005928644251985,1.2992264443875885,1.301979939416316,1.3015942246692371,1.297611735194441,1.299789335374593
1.2614846438446174,1.259041378680499,1.2727347811501415,1.2784933177940654,1.2700550105825117,1.2704094601600036,1.2660560780443195,1.2581539677929985,1.2622456083022255,1.2608381209773196,1.2696906874959797,1.2660605064433896,1.278611538650386,1.276455399729249,1.2817910900123468,1.2807567464387313,1.285151772422961,1.2834089519818197,1.2861857131455976,1.285345387589364,1.2831303406035155,1.28434280352806,1.2801434955879714,1.2827597620169129
