enrichment,bare,9_slry_1000_mlt_0.2_ref_0_pp.csv,9_slry_1000_mlt_0.4_ref_0_pp.csv,9_slry_1000_mlt_0.6_ref_0_pp.csv,9_slry_1000_mlt_0.8_ref_0_pp.csv,9_slry_1000_mlt_1_ref_0_pp.csv,9_slry_100_mlt_0.2_ref_0_pp.csv,9_slry_100_mlt_0.4_ref_0_pp.csv,9_slry_100_mlt_0.6_ref_0_pp.csv,9_slry_100_mlt_0.8_ref_0_pp.csv,9_slry_100_mlt_1_ref_0_pp.csv,9_slry_150_mlt_0.2_ref_0_pp.csv,9_slry_150_mlt_0.4_ref_0_pp.csv,9_slry_150_mlt_0.6_ref_0_pp.csv,9_slry_150_mlt_0.8_ref_0_pp.csv,9_slry_150_mlt_1_ref_0_pp.csv,9_slry_200_mlt_0.2_ref_0_pp.csv,9_slry_200_mlt_0.4_ref_0_pp.csv,9_slry_200_mlt_0.6_ref_0_pp.csv,9_slry_200_mlt_0.8_ref_0_pp.csv,9_slry_200_mlt_1_ref_0_pp.csv,9_slry_250_mlt_0.2_ref_0_pp.csv,9_slry_250_mlt_0.4_ref_0_pp.csv,9_slry_250_mlt_0.6_ref_0_pp.csv,9_slry_250_mlt_0.8_ref_0_pp.csv,9_slry_250_mlt_1_ref_0_pp.csv,9_slry_50_mlt_0.2_ref_0_pp.csv,9_slry_50_mlt_0.4_ref_0_pp.csv,9_slry_50_mlt_0.6_ref_0_pp.csv,9_slry_50_mlt_0.8_ref_0_pp.csv,9_slry_50_mlt_1_ref_0_pp.csv
0.01,0.428365167,1.105552869188361,1.1125301565917738,1.1203931732767851,1.1300364899373057,1.139378781689639,1.0329903818864463,1.0328238072809903,1.0321207140598514,1.0345538973138326,1.0338549471437488,1.0614006772428637,1.06457851009329,1.065261989221617,1.0665640183598526,1.0661025846156955,1.0765255406759464,1.0819467056813743,1.083346504552396,1.085335719631172,1.0889851453987152,1.0919605662321945,1.0950774146830096,1.0974572350916474,1.1001821359141437,1.1039220431299674,0.9783318079035648,0.9773434988590364,0.974296871552437,0.9735345464694736,0.9736036718034756
7.5,1.176862447,1.1055528691883654,1.1125301565917718,1.1203931732767822,1.1300364899373048,1.1393787816896364,1.170479032339752,1.1765270844162197,1.180725244986623,1.1872297127080085,1.193596218679766,1.1657772820154324,1.1729762422815722,1.177929787481971,1.1844038531927212,1.1884526216937248,1.1630823297233015,1.1701179557041117,1.1746337061847234,1.1811624483458665,1.1877658271850553,1.1593694096854226,1.1637174689797236,1.1708422411725514,1.1755994039809012,1.182918091368681,1.1755335065727883,1.1809190259997897,1.1845594661716188,1.1899931516538047,1.195950848461705
15.0,1.209729528,1.1055528691883574,1.1125301565917725,1.1203931732767745,1.13003648993732,1.1393787816896352,1.2008812421676938,1.208345585402567,1.2147755303633352,1.221930905121239,1.2295484879805156,1.1961336863834169,1.202639559698597,1.210554561954709,1.217054384903845,1.223240355356759,1.189856618598936,1.1949663498662335,1.2037726942123623,1.2102889147042508,1.2184210668067494,1.1806893927158129,1.1884496602897945,1.1966738028650583,1.2045881819519968,1.210017634561381,1.2097100622283534,1.2168132117161838,1.2213867734186794,1.228519152783376,1.236114428828321
25.0,1.223575556,1.1055528691883587,1.112530156591778,1.1203931732767778,1.1300364899373054,1.139378781689632,1.217829048690587,1.2238399474226962,1.2326930260057292,1.2403779793893808,1.2502259487815004,1.2104946027956622,1.218442760187882,1.2272419379656525,1.2353539913209175,1.2429698774250868,1.2038375595616078,1.2118583380666377,1.2194351317385388,1.2282397753097385,1.2363544916880906,1.1946497514216563,1.2020493602060427,1.211823962644204,1.2202829073853705,1.2286309370877324,1.2244911700051162,1.2321950431733708,1.2402870145313285,1.248488250167688,1.2580394935093873
50.0,1.220874813,1.1055528691883618,1.112530156591778,1.120393173276783,1.130036489937311,1.139378781689636,1.2191702002353186,1.2279088974284302,1.2390429637359257,1.2507243595193085,1.2612244490355962,1.2147393247832228,1.2242309263974462,1.2342622428556014,1.2432945544992005,1.252816203593272,1.207929114617119,1.217903302497726,1.2281378803311156,1.2384208027776586,1.2477789396706087,1.2028083972954684,1.2134458175014662,1.222942838075369,1.2318854482845336,1.242135212436993,1.2246258767981666,1.233970108401828,1.2460948358240485,1.2556131355681062,1.2653150137615237
75.0,1.206134367,1.1055528691883574,1.1125301565917836,1.1203931732767778,1.130036489937318,1.1393787816896357,1.2101638586963015,1.2195697241275478,1.230921953095261,1.2425424397026033,1.2530705676213312,1.2071646637819389,1.215873405325046,1.226831334455129,1.2357337102479358,1.247725635872429,1.2016398732208844,1.211533179619772,1.2216175130090057,1.2325264757237733,1.2437925151589095,1.1968669840355923,1.207740395134421,1.218261882932234,1.228701910274857,1.239964794609929,1.2142864818098822,1.2243159792984484,1.235856945390291,1.2468974743136847,1.2584472740675618
99.99,1.189121384,1.1055528691883645,1.1125301565917742,1.1203931732767822,1.130036489937306,1.139378781689636,1.194119608410746,1.2036998929048457,1.2173643063475332,1.229344835526249,1.2405284290521656,1.1914708838461752,1.2010943754282657,1.214867448223789,1.225240453249886,1.2368688942294022,1.1881019973445557,1.19918917585576,1.211354402463851,1.222026041192143,1.2336352772692232,1.184580662616139,1.19634894781644,1.2083963697568807,1.2194000908080938,1.2315186898385366,1.196082473133088,1.206571641983887,1.2186176991683877,1.2308275920329796,1.243859092292925
