enrichment,bare,13_slry_1000_mlt_0.5_ref_0_pp.csv,13_slry_1000_mlt_1.5_ref_0_pp.csv,13_slry_1000_mlt_1_ref_0_pp.csv,13_slry_1000_mlt_2_ref_0_pp.csv,13_slry_100_mlt_0.5_ref_0_pp.csv,13_slry_100_mlt_1.5_ref_0_pp.csv,13_slry_100_mlt_1_ref_0_pp.csv,13_slry_100_mlt_2_ref_0_pp.csv,13_slry_150_mlt_0.5_ref_0_pp.csv,13_slry_150_mlt_1.5_ref_0_pp.csv,13_slry_150_mlt_1_ref_0_pp.csv,13_slry_150_mlt_2_ref_0_pp.csv,13_slry_200_mlt_0.5_ref_0_pp.csv,13_slry_200_mlt_1.5_ref_0_pp.csv,13_slry_200_mlt_1_ref_0_pp.csv,13_slry_200_mlt_2_ref_0_pp.csv,13_slry_250_mlt_0.5_ref_0_pp.csv,13_slry_250_mlt_1.5_ref_0_pp.csv,13_slry_250_mlt_1_ref_0_pp.csv,13_slry_250_mlt_2_ref_0_pp.csv,13_slry_50_mlt_0.5_ref_0_pp.csv,13_slry_50_mlt_1.5_ref_0_pp.csv,13_slry_50_mlt_1_ref_0_pp.csv,13_slry_50_mlt_2_ref_0_pp.csv
0.01,0.428365167,1.1255928898314522,1.168610044720699,1.1466208160950042,1.1873702116109337,1.0471673002078794,1.0706091234560045,1.0607195978525703,1.08286598910401,1.077256312521958,1.1062296303864272,1.091332175693636,1.1148848029162766,1.093757914597843,1.1242863523888484,1.1084494934339006,1.1355667249792332,1.107183780158792,1.1396581943705382,1.1232882140793927,1.151120029220612,0.9904280676827142,1.013380382977653,1.0032565999219774,1.0213119390062488
7.5,1.176862447,1.125592889831453,1.1686100447206915,1.1466208160950055,1.1873702116109357,1.1856703285354966,1.2188223299505063,1.2034304198894832,1.2347171123880225,1.1806783709133464,1.2161927373488517,1.1987462009774097,1.230884111802499,1.1793419049390463,1.2136945850466383,1.1968567974868032,1.2272933652470863,1.1744556824120629,1.2110344368382695,1.1918481390881914,1.223838754796895,1.189616773655549,1.2219812899234523,1.2064232356928488,1.237153415979597
15.0,1.209729528,1.1255928898314485,1.1686100447206962,1.146620816094997,1.187370211610933,1.2164158454140632,1.254772571204502,1.236384577518007,1.2678121123813135,1.2096907128078962,1.2449812960321889,1.2300345290333434,1.2617058914722326,1.2043978271484006,1.2419239987195578,1.2230879908214352,1.256131122491546,1.197944107382357,1.2352377517989226,1.2146343415978764,1.2513528639210665,1.2238861940840475,1.2563881910793795,1.2413063112323552,1.274569007779
25.0,1.223575556,1.1255928898314451,1.1686100447206909,1.146620816095007,1.18737021161093,1.232116214551857,1.270268637759758,1.2509464296071535,1.289443632917786,1.225821360535925,1.263958488036873,1.2453775870458743,1.2815614847847137,1.218486429289056,1.25740434315552,1.2369706149544737,1.2730767963407696,1.211261889568835,1.250279529610705,1.2290419525179257,1.2682391946223714,1.2379070130168677,1.276198007455745,1.259242415756328,1.2927211744944191
50.0,1.220874813,1.125592889831453,1.1686100447207004,1.1466208160949949,1.1873702116109333,1.234162048599348,1.2775525431366654,1.2569118031336683,1.2969963238291893,1.2297058348952696,1.2702778639478838,1.2512520360755528,1.29154332818644,1.2234697614406311,1.266016344411239,1.2436231919975376,1.287565705472843,1.2186796092774246,1.2629808664884077,1.239520402370922,1.284376334357015,1.2410888591315965,1.2834864136924613,1.2631410788566946,1.3012551498563572
75.0,1.206134367,1.1255928898314491,1.168610044720698,1.146620816095003,1.1873702116109344,1.224768724017984,1.2707981167330913,1.250342049789119,1.293148068480988,1.2214791051737506,1.2674107208456449,1.2468052720908978,1.2890610343277529,1.2177197297977076,1.2643099181929478,1.2409836997930308,1.2848073311562895,1.2125081507100344,1.2598366583544485,1.236984802319877,1.2808604669338133,1.2322707973516993,1.2767650514937956,1.2551548599536426,1.2973991370691045
99.99,1.189121384,1.1255928898314524,1.168610044720695,1.146620816095002,1.187370211610934,1.2107930768232111,1.2615746352729862,1.2371121435482717,1.2828923403563566,1.2066254421723197,1.257057976419854,1.2327668035498722,1.2796044313465476,1.2053448686086206,1.256027584688421,1.2298847539707198,1.2781292340084598,1.2024301642723356,1.2527910336727246,1.2292071599531338,1.2755665601819948,1.2138097539514088,1.2637383162949607,1.2402715682403205,1.2852934656199384
