enrichment,bare,6_slry_0_mlt_0.5_ref_0_pp.csv,6_slry_0_mlt_1_ref_0_pp.csv,6_slry_0_mlt_1.5_ref_0_pp.csv,6_slry_0_mlt_2_ref_0_pp.csv
0.01,0.428365167,0.4280722873056278,0.4270217153515532,0.4260204572266674,0.4250847432750094
7.5,1.176862447,1.1947553981804029,1.20979356974964,1.2259965355774758,1.239670217751686
15.0,1.209729528,1.2288226998746523,1.2461527669713812,1.2613289947962418,1.2790084575041425
25.0,1.223575556,1.2449696843042075,1.2636637266667643,1.2821748817134249,1.2974945207685975
50.0,1.220874813,1.2467380849595264,1.2692424102871434,1.2875606661375176,1.306069090188274
75.0,1.206134367,1.2351082030878515,1.2593512732121577,1.2793953768238862,1.301741521367346
99.99,1.189121384,1.2161553146900834,1.242750474994103,1.2670839075939244,1.2858857874711664
